Palette: 19
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
batsPerActiveSwarmRoom: 5
blackSalamanderChance: 0.02
overseersSpawnChance: 0.6
overseersMin: 0
overseersMax: 4
earlyCycleChance: 0.05
earlyCycleFloodChance: 0.0
pupSpawnChance: 0.25
Subregion: The Mast
Subregion: Primary Transmission Node
Subregion: Marsh Flats
Subregion: Scavenger Den
Broken Shelters: Red: TM_S09
playerGuideOverseerSpawnChance: 0.04
Room Setting Templates: Inside, Outside, 
Room_Attr: GATE_SI_TM: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Forbidden,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_BROKENGATE: Hoverfly-Forbidden,
Room_Attr: TM_C20: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,
Room_Attr: TM_C19: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_C18: CyanLizard-Avoid,KingVulture-Avoid,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,Hoverfly-Avoid,
Room_Attr: TM_C27: YellowLizard-Like,
Room_Attr: TM_C21: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Avoid,
Room_Attr: TM_C17: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Vulture-Like,KingVulture-Avoid,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,Hoverfly-Avoid,
Room_Attr: TM_S01: SmallCentipede-Forbidden,Centipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_C16: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,
Room_Attr: TM_C15: SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,
Room_Attr: TM_C24: Vulture-Forbidden,KingVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_C23: SmallCentipede-Forbidden,Centipede-Forbidden,Hoverfly-Avoid,
Room_Attr: TM_C25: Vulture-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_C14: SmallCentipede-Forbidden,Centipede-Forbidden,
Room_Attr: TM_C11: SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,
Room_Attr: TM_C10: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,
Room_Attr: TM_C07: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,
Room_Attr: TM_C09: Hoverfly-Forbidden,
Room_Attr: TM_C22: Hoverfly-Forbidden,
Room_Attr: TM_C08: Hoverfly-Avoid,
Room_Attr: TM_C28: BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,Vulture-Forbidden,KingVulture-Forbidden,Centipede-Avoid,MirosVulture-Forbidden,
Room_Attr: TM_C05: Vulture-Like,KingVulture-Avoid,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,
Room_Attr: TM_C13: SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_C29: BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,SmallCentipede-Stay,Centipede-Stay,Hoverfly-Forbidden,
Room_Attr: TM_C30: Vulture-Like,KingVulture-Avoid,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Avoid,
Room_Attr: TM_B05: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,DropBug-Avoid,
Room_Attr: TM_B06: RedCentipede-Avoid,
Room_Attr: TM_B12: SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,
Room_Attr: TM_B04: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Like,
Room_Attr: TM_B03: Scavenger-Avoid,Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Like,
Room_Attr: TM_B02: Scavenger-Forbidden,Vulture-Avoid,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Like,
Room_Attr: TM_B01: Scavenger-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,EggBug-Avoid,ScavengerElite-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_A03: Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,ScavengerElite-Forbidden,Hoverfly-Like,
Room_Attr: TM_A06: Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,Hoverfly-Like,
Room_Attr: TM_A02: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,PoleMimic-Forbidden,TentaclePlant-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,JetFish-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,TubeWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,Overseer-Forbidden,Hazer-Forbidden,ScavengerElite-Forbidden,Hoverfly-Like,
Room_Attr: TM_A01: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,PoleMimic-Forbidden,TentaclePlant-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,JetFish-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,TubeWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,Overseer-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,
Room_Attr: TM_S03: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_A05: Scavenger-Forbidden,Vulture-Avoid,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Like,
Room_Attr: TM_A04: Scavenger-Forbidden,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,ScavengerElite-Avoid,Hoverfly-Like,
Room_Attr: TM_B07: Scavenger-Forbidden,Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Like,
Room_Attr: TM_B08: Scavenger-Avoid,Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Avoid,Hoverfly-Like,
Room_Attr: TM_B10: YellowLizard-Like,SmallCentipede-Forbidden,Centipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_B11: YellowLizard-Like,Hoverfly-Forbidden,
Room_Attr: TM_B09: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,
Room_Attr: TM_B13: YellowLizard-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_S09: YellowLizard-Avoid,
Room_Attr: TM_B14: YellowLizard-Forbidden,SmallCentipede-Like,Centipede-Like,RedCentipede-Like,Hoverfly-Forbidden,
Room_Attr: TM_B15: YellowLizard-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Like,Centipede-Like,RedCentipede-Like,DropBug-Avoid,MirosVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_C01: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,
Room_Attr: TM_C02: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Avoid,
Room_Attr: TM_B16: YellowLizard-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Like,Centipede-Like,RedCentipede-Like,DropBug-Avoid,MirosVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_C03: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Avoid,
Room_Attr: TM_C04: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Like,RedCentipede-Like,DropBug-Avoid,MirosVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D11: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,SmallCentipede-Like,RedCentipede-Like,DropBug-Avoid,Hoverfly-Forbidden,
