GATE_BL_GW: 2411.65><112.939><1944.72><126.128><1><
GATE_LF_BL: -2485.78><330.807><-1837.32><295.276><2><
BL_A13: 2259.65><109.939><1802.72><121.128><1><
BL_A03: 1315.65><120.939><1061.72><124.128><1><
BL_A02: 1265.65><225.939><995.724><266.128><2><
BL_A08: 1228.65><93.9393><960.724><-41.8714><2><
BL_B09: 1154.41><-40.8145><858.632><-186.372><2><
BL_A01: 1180.65><-188.061><968.724><-339.872><2><
BL_A07: 963.651><-191.061><781.722><-338.872><2><
BL_S01: 934.65><-89.0607><719.722><-191.871><2><
BL_B02: 922.551><-456.36><758.422><-560.472><2><
BL_C01: 1015.55><139.139><665.422><132.528><1><
BL_A11: 715.05><138.723><504.672><183.028><1><
BL_S02: -2462.76><412.848><-1680.31><433.946><2><
BL_A14: -2341.76><329.847><-1676.31><298.946><2><
BL_C02: -2165.95><187.221><-1518.33><130.028><2><
BL_E04: -1639.84><84.4155><-1327.63><125.744><2><
BL_A06: -1387.76><-26.1524><-1017.31><-4.0548><2><
BL_A12: -1234.76><-28.1525><-853.312><-5.0548><2><
BL_B04: -1078.76><32.3478><-677.312><25.9452><2><
BL_A10: -922.761><93.8475><-508.312><127.945><2><
BL_C03: -773.229><-31.6464><-363.548><-96.6778><2><
BL_B05: -922.776><-201.692><-510.322><-217.723><2><
BL_A04: -1359><132><-1011.32><276.276><1><
BL_B06: -700.776><-327.192><-398.32><-401.724><2><
BL_C04: 488.868><-23.9063><319.144><22.884><2><
BL_F02: 198.833><193.524><-32.6154><178.712><1><
BL_A05: 198.833><366.024><71.3846><394.712><1><
BL_E02: 1788.26><131.984><1221.66><125.37><1><
BL_E03: -285.522><-19.2438><-218.37><36.5522><2><
BL_A09: -61.167><69.0249><-136><132><0><
BL_C05: 537.771><124.15><351.634><180.556><1><
BL_B03: 537.771><-160.85><620><-422><1><
BL_A15: 718.125><244.179><503.458><349.938><1><
BL_B07: 624.981><349.179><396.63><509.938><1><
BL_D02: -196.182><191.868><-261.262><210.37><1><
BL_A16: -923.181><-24.6315><-510.262><-12.63><2><
BL_C06: -462.819><-374.816><-160.764><-560.83><2><
BL_D04: -727.32><139.381><-800.826><277.818><1><
BL_S03: -748.776><-434.193><-368.32><-249.723><2><
BL_S04: 547.98><324.18><402.63><666.938><2><
BL_B08: 661.68><-506.619><520.174><-566.182><2><
BL_C07: 391.56><-627.168><399.722><-726.396><2><
BL_D03: -38.301><-511.017><-21.8124><-563.118><2><
BL_C08: -522.801><-72.2886><-216.54><-253.459><1><
BL_C09: 61.199><-95.4885><-53.6066><-254.459><1><
BL_D05: 196.373><142.569><64><-264><0><
BL_F03: 238.373><-150.931><294><-414><0><
BL_FG1: -137.627><-90.9312><78><-340><0><
BL_FG2: -361.629><-54.9313><-44><-328><0><
