
Palette: 19
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
batsPerActiveSwarmRoom: 5
blackSalamanderChance: 0.02
overseersSpawnChance: 0
overseersMin: 0
overseersMax: 0
playerGuideOverseerSpawnChance: 0.04
Room Setting Templates: Inside, Outside, ground-ext, ground-int, ground-metal
Subregion: Ashen Monolith
Room_Attr: XM_C20: Hoverfly-Forbidden,
Room_Attr: XM_C19: Hoverfly-Forbidden,
Room_Attr: XM_C18: CicadaA-Avoid,CicadaB-Avoid,Vulture-Avoid,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,MirosVulture-Forbidden,
Room_Attr: XM_C27: Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: XM_C21: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Hoverfly-Avoid,
Room_Attr: XM_C17: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: XM_S01: Hoverfly-Forbidden,
Room_Attr: XM_C24: Hoverfly-Forbidden,
Room_Attr: XM_C23: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: XM_C26: Hoverfly-Forbidden,
Room_Attr: XM_C25: Hoverfly-Forbidden,
Room_Attr: XM_C28: Hoverfly-Forbidden,
Room_Attr: XM_C13: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_C14: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: XM_C29: Hoverfly-Forbidden,
Room_Attr: XM_C30: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Hoverfly-Avoid,
Room_Attr: XM_C02: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: XM_B16: Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,Hoverfly-Forbidden,
Room_Attr: XM_C03: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: XM_C04: Spider-Like,BigSpider-Like,SpitterSpider-Like,Hoverfly-Forbidden,
Room_Attr: XM_D11: Spider-Like,BigSpider-Like,SpitterSpider-Like,Hoverfly-Forbidden,
Room_Attr: XM_D11C: Hoverfly-Forbidden,
Room_Attr: XM_D12: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_D13: Hoverfly-Forbidden,
Room_Attr: XM_D17: Hoverfly-Forbidden,
Room_Attr: XM_D02: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Hoverfly-Avoid,
Room_Attr: XM_D10: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Hoverfly-Avoid,
Room_Attr: XM_D03: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_D07: Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,Hoverfly-Forbidden,
Room_Attr: XM_D08: YellowLizard-Avoid,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_D14: Hoverfly-Forbidden,
Room_Attr: XM_D18: YellowLizard-Avoid,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_D15: YellowLizard-Avoid,Spider-Like,BigSpider-Like,SpitterSpider-Like,Hoverfly-Forbidden,
Room_Attr: XM_E01: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Stay,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,Eel-Forbidden,ZoopLizard-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_D19: Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_E05: Vulture-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: XM_E08: MirosVulture-Forbidden,
Room_Attr: XM_E12: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Stay,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,Eel-Forbidden,ZoopLizard-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,Hoverfly-Forbidden,
